ORIGEN;DESTINO;TIPO_PASAJE;PAX;PRECIO;DIAS_ANTICIPACION;ULTIMOS_CUPOS;IS_IDA_VUELTA;EDAD_MINIMA;EDAD_MAXIMA
ST;CL;ADT;2; 199.00 ;7;;;;
ST;CL;ADT;1; 239.00 ;5;;;;
ST;CL;ADT;3; 259.00 ;3;;;;
ST;CL;ADT;10; 279.00 ;;;;;
ST;CL;ADT;3; 299.00 ;;3;;;
ST;CL;CHD;2; 159.00 ;;;;2;5
CL;ST;ADT;2; 199.00 ;7;;;;
CL;ST;ADT;1; 239.00 ;5;;;;
CL;ST;ADT;3; 259.00 ;3;;;;
CL;ST;ADT;10; 279.00 ;;3;;;
CL;ST;CHD;2; 159.00 ;;;;2;5
CL;AY;ADT;2; 250.00 ;7;;;;
CL;AY;ADT;2; 270.00 ;5;;;;
CL;AY;ADT;14; 310.00 ;;;;;
CL;AY;CHD;2; 159.00 ;;;;2;5
CL;AY;ADT;2; 500.00 ;;;si;;
AY;CL;ADT;2; 199.00 ;7;;;;
AY;CL;ADT;2; 239.00 ;5;;;;
AY;CL;ADT;2; 249.00 ;3;;;;
AY;CL;ADT;13; 260.00 ;;;;;
AY;CL;CHD;2; 159.00 ;;;;2;5
AY;CL;ADT;2; 500.00 ;;;si;;
MS;QT;ADT;2; 299.00 ;7;;;;
MS;QT;ADT;2; 349.00 ;5;;;;
MS;QT;ADT;13; 370.00 ;;;;;
MS;QT;ADT;2; 399.00 ;;2;;;
MS;QT;CHD;2; 289.00 ;;;;2;5
MS;QT;CHD;2; 319.00 ;;;;6;9
QT;MS;ADT;2; 299.00 ;7;;;;
QT;MS;ADT;2; 349.00 ;5;;;;
QT;MS;ADT;10; 370.00 ;;;;;
QT;MS;ADT;2; 399.00 ;;2;;;
QT;MS;CHD;2; 289.00 ;;;;2;5
QT;MS;CHD;2; 319.00 ;;;;6;9
QT;AS;ADT;2; 299.00 ;7;;;;
QT;AS;ADT;2; 329.00 ;5;;;;
QT;AS;ADT;13; 350.00 ;;;;;
QT;AS;ADT;2; 399.00 ;;2;;;
AS;QT;ADT;2; 299.00 ;7;;;;
AS;QT;ADT;2; 329.00 ;5;;;;
AS;QT;ADT;13; 350.00 ;;;;;
AS;QT;ADT;2; 399.00 ;;2;;;
